item name 2023-09-18 09:00:43,2023-09-18 17:31:36,m/s,℃,6.0,5107,0.08:30:54.6
conditions

Hub No ,HUB01-01CH,HUB01-01CH,HUB01-01CH,HUB01-02CH,HUB01-02CH,HUB01-02CH,HUB01-03CH,HUB01-03CH,HUB01-03CH,HUB01-04CH,HUB01-04CH,HUB01-04CH,HUB01-05CH,HUB01-05CH,HUB01-05CH,HUB01-06CH,HUB01-06CH,HUB01-06CH,HUB01-07CH,HUB01-07CH,HUB01-07CH,HUB01-08CH,HUB01-08CH,HUB01-08CH,HUB01-09CH,HUB01-09CH,HUB01-09CH,HUB01-10CH,HUB01-10CH,HUB01-10CH,HUB01-11CH,HUB01-11CH,HUB01-11CH,HUB01-12CH,HUB01-12CH,HUB01-12CH
Data 95-0.00:09:30.0 ,0.72,26.10,63.90,0.99,26.10,64.70,1.06,25.90,65.20,0.71,26.00,66.20,0.58,26.00,64.10,1.16,25.80,65.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 96-0.00:09:36.0 ,0.87,26.10,63.80,0.96,26.10,64.80,1.03,25.90,65.20,0.61,26.00,66.20,0.99,26.00,64.10,0.72,25.70,65.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 97-0.00:09:42.0 ,0.71,26.10,63.80,0.89,26.10,64.80,0.93,25.90,65.20,1.24,26.00,66.20,0.92,26.10,64.10,0.90,25.70,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 98-0.00:09:48.0 ,0.72,26.10,63.80,1.01,26.10,64.70,1.24,26.00,65.20,0.98,26.00,66.30,0.75,26.00,64.10,0.23,25.70,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 99-0.00:09:54.0 ,0.86,26.10,63.80,0.73,26.10,64.60,1.11,25.90,65.00,1.17,25.90,66.20,0.64,25.90,64.00,0.66,25.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 100-0.00:10:00.0 ,0.79,26.10,63.80,0.45,26.00,64.60,1.61,25.90,64.90,0.80,25.90,66.20,0.56,26.00,64.00,0.58,25.80,65.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 101-0.00:10:06.0 ,0.87,26.10,63.70,0.84,26.00,64.50,1.26,25.90,64.90,1.52,26.00,66.20,0.62,26.00,64.00,0.75,25.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 102-0.00:10:12.0 ,0.68,26.10,63.60,0.94,26.10,64.40,1.12,25.90,65.00,1.38,26.00,66.20,0.65,26.00,64.00,0.64,25.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 103-0.00:10:18.0 ,0.66,26.10,63.50,1.29,26.10,64.40,1.00,25.90,65.00,1.37,25.90,66.20,0.69,26.00,63.90,0.61,25.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 104-0.00:10:24.0 ,1.01,26.10,63.50,1.12,25.90,64.40,1.21,25.90,65.00,1.15,26.00,66.20,0.83,25.90,63.90,1.03,25.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 105-0.00:10:30.0 ,0.66,26.00,63.50,1.06,25.90,64.40,1.14,26.00,65.00,1.00,25.90,66.20,0.80,25.90,63.90,0.39,25.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 106-0.00:10:36.0 ,0.95,26.10,63.50,0.93,26.00,64.40,1.03,25.90,64.90,1.25,25.90,66.20,0.85,26.00,63.90,0.86,25.80,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 107-0.00:10:42.0 ,1.11,26.10,63.50,1.20,26.00,64.50,1.61,25.90,64.80,1.20,25.90,66.10,0.66,26.00,63.90,0.79,25.70,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 108-0.00:10:48.0 ,0.86,26.00,63.50,1.26,26.10,64.50,1.22,25.90,64.80,1.23,25.90,66.10,0.80,26.10,63.90,0.97,25.80,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 109-0.00:10:54.0 ,0.77,26.00,63.50,0.85,26.10,64.50,1.40,25.90,64.90,0.92,25.80,66.00,0.44,26.00,63.90,0.72,25.80,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 110-0.00:11:00.0 ,1.17,26.10,63.50,0.90,26.00,64.50,1.03,25.90,64.80,1.06,25.90,66.10,0.36,26.00,63.80,0.93,25.80,65.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 111-0.00:11:06.0 ,0.80,26.00,63.50,0.89,26.10,64.50,1.51,25.90,64.70,0.68,25.80,66.10,0.85,26.00,63.80,0.76,25.80,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 112-0.00:11:12.0 ,0.44,26.00,63.50,1.27,26.00,64.60,1.31,25.90,64.70,1.13,25.90,66.10,0.63,26.10,63.70,0.80,25.80,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 113-0.00:11:18.0 ,0.57,26.00,63.40,0.92,26.00,64.60,0.75,25.90,64.70,0.78,26.00,66.20,1.01,26.10,63.70,0.99,25.70,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 114-0.00:11:24.0 ,0.93,26.10,63.30,0.97,26.00,64.40,1.04,26.00,64.70,0.99,26.00,66.10,1.07,26.00,63.70,0.72,25.70,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 115-0.00:11:30.0 ,0.64,25.90,63.20,0.91,26.10,64.30,1.12,26.00,64.60,0.85,25.90,66.00,0.55,26.00,63.60,0.59,25.70,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 116-0.00:11:36.0 ,0.74,26.10,63.20,0.90,26.10,64.30,1.24,25.90,64.60,1.26,26.00,66.00,0.45,26.00,63.60,0.60,25.80,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 117-0.00:11:42.0 ,1.05,26.00,63.20,0.95,26.00,64.30,1.35,25.90,64.60,0.82,25.90,66.00,0.67,26.00,63.60,0.84,25.70,64.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 118-0.00:11:48.0 ,0.40,26.00,63.20,0.96,26.00,64.40,1.14,25.90,64.60,0.84,25.90,65.90,0.78,26.10,63.60,0.55,25.70,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 119-0.00:11:54.0 ,0.86,26.00,63.10,0.98,26.00,64.40,1.28,25.90,64.50,1.06,25.90,65.80,0.66,26.00,63.50,0.78,25.80,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 120-0.00:12:00.0 ,0.56,26.00,63.10,0.92,26.00,64.30,1.43,25.90,64.40,0.64,25.90,65.80,1.01,26.00,63.50,0.80,25.70,64.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 121-0.00:12:06.0 ,0.69,25.90,63.10,0.82,26.10,64.20,0.94,25.90,64.50,1.06,26.00,65.90,0.67,25.90,63.50,0.99,25.80,64.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 122-0.00:12:12.0 ,0.72,25.90,63.10,1.13,26.10,64.20,1.40,25.90,64.50,1.13,25.90,65.90,0.86,25.90,63.50,0.71,25.60,64.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 123-0.00:12:18.0 ,0.80,26.00,63.10,0.91,26.00,64.20,1.20,25.90,64.50,0.60,25.90,65.80,0.72,25.90,63.40,0.77,25.60,64.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 124-0.00:12:24.0 ,0.69,25.90,63.00,0.93,26.00,64.20,1.19,25.80,64.40,0.53,25.90,65.80,0.69,25.90,63.40,0.55,25.60,64.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 125-0.00:12:30.0 ,1.16,26.00,62.90,1.12,25.90,64.20,1.27,25.90,64.40,0.96,26.00,65.70,1.07,26.00,63.40,1.06,25.80,64.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 126-0.00:12:36.0 ,0.50,26.00,62.90,1.00,25.90,64.20,1.31,25.80,64.30,0.77,26.00,65.60,0.99,25.90,63.40,0.77,25.60,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 127-0.00:12:42.0 ,0.95,26.00,63.00,0.73,25.80,64.20,1.18,25.90,64.40,0.61,25.90,65.40,0.97,25.90,63.30,0.70,25.60,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 128-0.00:12:48.0 ,0.62,26.00,63.00,0.91,25.90,64.20,1.41,25.90,64.40,0.76,25.90,65.40,1.13,25.90,63.40,0.62,25.70,64.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 129-0.00:12:54.0 ,0.64,26.00,62.90,0.89,25.90,64.10,1.41,25.90,64.30,0.57,25.90,65.50,0.66,25.90,63.40,0.71,25.80,64.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 130-0.00:13:00.0 ,0.98,26.00,62.90,1.16,25.90,64.00,1.13,25.80,64.30,0.94,25.80,65.40,1.31,26.00,63.30,0.88,25.70,64.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 131-0.00:13:06.0 ,0.56,26.00,62.90,0.73,25.80,64.00,1.40,25.90,64.20,1.53,25.90,65.30,0.80,25.90,63.30,0.56,25.60,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 132-0.00:13:12.0 ,0.56,26.00,62.90,1.03,25.90,64.00,1.28,25.90,64.20,0.59,25.80,65.40,0.43,25.90,63.30,0.78,25.70,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 133-0.00:13:18.0 ,0.67,26.00,62.90,1.20,25.90,64.00,1.14,26.00,64.20,1.07,25.90,65.50,0.91,25.90,63.20,0.93,25.50,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 134-0.00:13:24.0 ,1.07,26.00,62.80,0.85,25.90,64.00,1.21,25.90,64.10,1.24,25.90,65.40,0.80,25.90,63.20,0.47,25.50,64.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 135-0.00:13:30.0 ,0.77,25.90,62.80,1.25,25.90,64.00,1.38,25.90,64.10,1.06,25.90,65.40,0.67,25.90,63.20,1.07,25.70,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 136-0.00:13:36.0 ,0.62,26.00,62.80,1.08,25.90,63.90,1.24,25.80,64.00,0.86,25.80,65.30,0.81,25.90,63.20,0.66,25.60,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 137-0.00:13:42.0 ,0.87,25.90,62.70,1.04,25.90,63.80,1.38,25.80,64.00,0.95,25.80,65.30,0.41,25.90,63.20,0.62,25.60,64.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 138-0.00:13:48.0 ,1.10,25.90,62.70,0.66,25.90,63.80,1.02,25.80,64.00,1.02,25.80,65.30,1.32,25.90,63.10,0.56,25.50,64.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 139-0.00:13:54.0 ,0.62,25.90,62.70,0.98,25.90,63.80,1.34,25.90,64.00,0.92,25.80,65.30,1.12,25.70,63.00,0.64,25.50,64.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 140-0.00:14:00.0 ,1.00,25.90,62.70,1.09,25.90,63.70,0.95,25.70,64.00,0.84,25.70,65.30,0.61,25.80,63.10,1.22,25.70,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 141-0.00:14:06.0 ,0.78,25.90,62.60,0.65,25.90,63.70,0.91,25.70,64.00,0.79,25.90,65.30,0.66,25.90,63.10,0.82,25.70,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 142-0.00:14:12.0 ,0.84,25.90,62.60,0.96,25.90,63.70,1.08,25.90,64.00,0.49,25.80,65.20,0.75,25.90,63.00,0.68,25.60,64.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 143-0.00:14:18.0 ,0.71,25.90,62.60,0.47,25.90,63.60,1.44,25.90,63.90,0.63,25.90,65.20,1.14,25.90,63.10,1.26,25.70,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 144-0.00:14:24.0 ,0.27,25.90,62.60,1.11,25.90,63.60,0.97,25.90,63.90,0.88,25.90,65.20,0.80,25.90,63.10,1.00,25.60,64.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 145-0.00:14:30.0 ,0.95,26.00,62.60,1.15,25.90,63.70,1.53,25.90,63.90,0.78,25.80,65.10,0.72,25.90,63.00,0.55,25.50,64.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 146-0.00:14:36.0 ,0.99,26.00,62.60,0.91,25.90,63.70,1.17,25.80,63.80,0.81,25.80,65.10,0.46,25.80,63.00,0.64,25.50,64.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 147-0.00:14:42.0 ,0.38,25.90,62.60,0.74,25.90,63.70,1.50,25.80,63.80,1.01,25.80,65.00,0.44,25.80,63.00,0.57,25.60,64.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 148-0.00:14:48.0 ,1.04,25.90,62.60,1.07,25.90,63.70,1.38,25.70,63.80,1.18,25.80,64.90,0.70,25.80,63.00,0.73,25.70,64.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 149-0.00:14:54.0 ,0.80,25.90,62.60,0.89,25.90,63.60,1.23,25.80,63.80,1.29,25.80,64.90,0.43,25.80,62.90,0.56,25.60,64.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 150-0.00:15:00.0 ,0.82,25.90,62.50,0.69,25.80,63.50,1.11,25.70,63.80,0.49,25.80,65.00,0.66,25.90,62.90,0.95,25.40,64.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 151-0.00:15:06.0 ,0.65,25.90,62.50,0.77,25.80,63.50,1.09,25.70,63.90,0.60,25.70,65.00,0.63,25.90,62.80,0.78,25.40,64.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 152-0.00:15:12.0 ,1.05,25.90,62.50,0.50,25.80,63.50,1.03,25.70,64.00,0.48,25.80,65.00,0.84,25.80,62.80,0.52,25.40,64.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 153-0.00:15:18.0 ,0.91,25.90,62.40,0.62,25.70,63.60,1.36,25.80,64.00,0.81,25.80,65.00,1.04,25.80,62.80,0.99,25.50,64.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 154-0.00:15:24.0 ,0.83,25.90,62.40,0.87,25.80,63.60,1.40,25.80,64.00,1.18,26.00,65.00,0.96,25.80,62.90,0.70,25.50,64.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 155-0.00:15:30.0 ,0.83,25.90,62.50,1.08,25.90,63.70,1.30,25.70,64.10,0.63,25.80,65.10,1.30,25.80,63.00,1.02,25.50,64.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 156-0.00:15:36.0 ,1.01,25.90,62.50,0.94,25.90,63.70,1.09,25.80,64.20,0.77,25.80,65.20,1.01,25.80,63.00,0.47,25.40,64.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 157-0.00:15:42.0 ,0.67,25.90,62.60,1.05,25.90,63.70,1.23,25.80,64.20,0.59,25.80,65.20,0.61,25.80,63.10,0.84,25.50,64.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 158-0.00:15:48.0 ,0.79,25.90,62.60,0.72,25.90,63.80,0.85,25.70,64.20,0.64,25.80,65.20,1.03,25.80,63.10,1.04,25.60,64.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 159-0.00:15:54.0 ,0.46,25.90,62.70,1.05,25.90,63.80,1.45,25.90,64.20,1.07,25.90,65.40,0.92,25.80,63.20,0.86,25.70,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 160-0.00:16:00.0 ,0.57,25.90,62.80,1.07,25.90,63.90,1.54,25.80,64.30,0.92,25.80,65.50,1.08,25.80,63.20,0.98,25.70,64.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 161-0.00:16:06.0 ,1.03,25.90,62.80,1.01,25.80,64.00,1.23,25.80,64.50,0.66,25.80,65.60,1.18,25.80,63.30,0.75,25.50,65.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 162-0.00:16:12.0 ,0.84,25.90,62.90,1.14,25.90,64.10,0.94,25.80,64.50,0.88,25.80,65.60,1.10,25.80,63.50,1.11,25.50,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 163-0.00:16:18.0 ,0.38,25.80,63.00,0.85,25.90,64.20,0.99,25.90,64.40,0.41,25.80,65.70,0.95,25.90,63.50,0.67,25.50,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 164-0.00:16:24.0 ,0.92,25.90,63.10,0.77,25.90,64.30,1.45,25.90,64.50,0.78,25.90,65.80,0.77,25.90,63.60,0.83,25.70,65.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 165-0.00:16:30.0 ,0.91,26.00,63.10,0.98,25.90,64.30,0.91,25.90,64.60,0.56,25.90,65.80,1.23,25.90,63.60,0.96,25.50,65.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 166-0.00:16:36.0 ,0.75,25.80,63.30,0.60,25.80,64.40,0.99,25.80,64.70,0.90,26.00,65.80,0.90,25.80,63.80,0.62,25.50,65.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 167-0.00:16:42.0 ,0.53,25.90,63.40,0.52,25.80,64.50,0.60,25.80,65.00,0.38,25.80,65.90,0.63,25.80,63.90,0.54,25.50,65.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 168-0.00:16:48.0 ,0.24,25.90,63.50,0.25,25.80,64.60,0.82,25.90,65.00,0.32,26.00,66.00,0.25,25.80,63.90,0.52,25.70,65.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 169-0.00:16:54.0 ,0.33,26.00,63.50,0.42,25.80,64.70,0.47,25.80,65.00,0.15,25.90,66.00,0.37,25.90,64.00,0.41,25.70,65.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 170-0.00:17:00.0 ,0.22,26.00,63.80,0.26,25.80,64.90,0.45,25.90,65.20,0.22,26.00,66.10,0.19,25.90,64.00,0.35,25.70,65.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 171-0.00:17:06.0 ,0.45,26.00,63.90,0.32,25.80,64.90,0.36,25.90,65.20,0.31,26.00,66.20,0.30,26.00,64.00,0.43,25.80,65.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 172-0.00:17:12.0 ,0.36,26.00,64.00,0.19,25.90,65.00,0.49,26.00,65.20,0.39,26.00,66.30,0.35,26.00,64.20,0.43,25.80,66.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 173-0.00:17:18.0 ,0.30,26.00,64.00,0.33,26.00,65.00,0.28,26.10,65.20,0.24,26.00,66.30,0.39,26.10,64.20,0.31,25.70,66.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 174-0.00:17:24.0 ,0.36,26.00,64.00,0.29,26.00,65.00,0.39,26.10,65.10,0.33,26.10,66.30,0.26,26.10,64.30,0.38,25.70,66.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 175-0.00:17:30.0 ,0.23,26.00,64.10,0.35,26.00,65.10,0.38,26.10,65.20,0.32,26.10,66.30,0.30,26.10,64.40,0.32,25.70,66.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 176-0.00:17:36.0 ,0.30,26.00,64.10,0.18,26.00,65.20,0.41,26.10,65.10,0.50,26.10,66.50,0.45,26.00,64.50,0.37,25.80,66.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 177-0.00:17:42.0 ,0.55,26.00,64.20,0.25,26.00,65.20,0.50,25.90,65.20,0.39,26.10,66.70,0.68,25.90,64.60,0.53,25.80,66.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 178-0.00:17:48.0 ,0.33,26.00,64.30,0.35,26.00,65.30,0.61,25.90,65.60,0.69,26.10,66.80,0.60,25.90,64.80,0.41,25.80,66.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 179-0.00:17:54.0 ,0.31,26.00,64.50,0.31,26.10,65.50,0.78,25.90,65.80,0.28,26.00,66.90,0.57,25.80,64.90,0.44,25.80,67.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 180-0.00:18:00.0 ,0.56,26.00,64.60,0.41,26.10,65.60,0.71,25.90,65.80,0.42,26.10,67.00,0.38,25.90,65.10,0.63,25.90,67.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 181-0.00:18:06.0 ,0.41,26.00,64.70,0.56,26.10,65.70,0.47,25.90,66.00,0.39,26.00,67.00,0.45,25.90,65.10,0.70,25.90,67.30,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 182-0.00:18:12.0 ,0.31,26.00,64.80,0.24,26.00,65.80,0.51,26.00,66.00,0.17,26.00,67.10,0.52,25.90,65.20,0.71,25.90,67.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 183-0.00:18:18.0 ,0.42,26.00,64.90,0.44,26.10,65.80,0.62,26.00,65.90,0.43,26.00,67.20,0.50,25.90,65.20,0.28,25.80,67.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 184-0.00:18:24.0 ,0.50,26.00,65.00,0.39,26.00,65.90,0.46,26.00,66.00,0.40,26.10,67.40,0.73,25.90,65.40,0.44,25.80,67.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 185-0.00:18:30.0 ,0.53,26.10,65.10,0.42,26.00,66.10,0.64,26.00,66.20,0.46,26.20,67.50,0.65,25.90,65.60,0.61,25.90,67.50,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 186-0.00:18:36.0 ,0.38,26.10,65.20,0.68,26.00,66.30,0.54,26.00,66.30,0.39,26.20,67.60,0.65,25.90,65.70,0.35,25.80,67.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 187-0.00:18:42.0 ,0.30,26.00,65.30,0.44,26.00,66.40,0.53,26.10,66.40,0.39,26.10,67.70,0.59,25.90,66.00,0.70,25.80,67.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 188-0.00:18:48.0 ,0.52,26.00,65.50,0.45,26.10,66.50,0.68,26.00,66.60,0.58,26.00,68.00,0.54,25.80,66.20,0.50,25.80,68.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 189-0.00:18:54.0 ,0.47,26.00,65.60,0.44,25.90,66.60,0.69,26.10,66.70,0.43,26.00,68.30,0.53,25.90,66.30,0.54,25.80,68.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 190-0.00:19:00.0 ,0.71,26.00,65.80,0.58,26.00,66.90,0.69,26.10,66.70,0.34,26.00,68.40,0.63,25.90,66.50,0.56,25.90,68.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 191-0.00:19:06.0 ,0.39,25.90,66.00,0.60,26.00,67.00,0.52,26.00,66.80,0.58,26.10,68.50,0.57,25.90,66.60,0.63,25.90,68.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 192-0.00:19:12.0 ,0.49,26.00,66.10,0.63,26.00,67.10,0.52,26.10,67.00,0.41,26.10,68.60,0.64,25.90,66.70,0.65,26.00,68.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 193-0.00:19:18.0 ,0.59,26.00,66.20,0.51,26.00,67.20,0.50,26.10,67.10,0.54,26.20,68.60,0.56,25.90,66.90,0.71,26.00,68.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 194-0.00:19:24.0 ,0.48,26.00,66.40,0.33,25.90,67.40,0.30,26.10,67.10,0.54,26.00,68.70,0.55,26.00,67.00,0.53,26.00,68.40,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 195-0.00:19:30.0 ,0.52,26.00,66.50,0.66,25.90,67.50,0.44,26.20,67.00,0.35,26.00,68.90,0.80,26.00,67.20,0.55,26.00,68.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 196-0.00:19:36.0 ,0.35,26.00,66.50,0.62,25.90,67.70,0.71,26.20,67.10,0.46,26.00,69.00,0.57,26.00,67.30,0.50,25.90,68.60,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 197-0.00:19:42.0 ,0.39,26.00,66.70,0.56,26.00,67.80,0.62,26.20,67.40,0.48,26.10,69.30,0.50,25.90,67.40,0.57,25.90,68.70,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 198-0.00:19:48.0 ,0.55,26.10,66.80,0.49,26.00,67.90,0.50,26.20,67.40,0.34,26.00,69.50,0.65,26.00,67.50,0.50,26.00,68.80,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 199-0.00:19:54.0 ,0.39,26.00,66.90,0.52,26.10,68.00,0.67,26.30,67.50,0.61,26.10,69.50,0.40,25.90,67.70,0.62,26.10,68.90,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 200-0.00:20:00.0 ,0.44,26.10,67.00,0.47,26.10,68.10,0.53,26.20,67.70,0.63,26.00,69.60,0.62,25.90,67.80,0.71,26.10,69.00,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 201-0.00:20:06.0 ,0.29,26.00,67.10,0.49,26.10,68.20,0.58,26.20,67.80,0.76,26.10,69.70,0.63,26.00,67.90,0.41,26.00,69.10,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
Data 202-0.00:20:12.0 ,0.37,26.10,67.20,0.65,26.10,68.30,0.65,26.30,67.80,0.63,26.10,69.90,0.58,26.00,67.90,0.78,26.10,69.20,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---,---
